,fineLine,displayName,productUrl,brandName,brandLogo,forHire,unitOfMeasure,isSpecialOrder,availableForOrderOnline,availableForPickUp,availableForDelivery,isTradingRestricted,isThirdParty,isBundle,isCustomMade,hasPOADelivery,productImage,checkStoreForPrice,stockStatus,isFeatured,sellerName,isMarketplaceProduct,showStockLevel,isInStore,productRatings,totalReviewCount,Price_int
20,0054471,Ozito Power X Change 18V 1.5Ah Grass Trimmer And Shear Kit,/ozito-power-x-change-18v-1-5ah-grass-trimmer-and-shear-kit_p0054471,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},110.0
21,0054472,Ozito Power X Change 18V Ultimate Cordless Garden Care Kit,/ozito-power-x-change-18v-ultimate-cordless-garden-care-kit_p0054472,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},399.0
22,0054476,Ozito Power X Change 18V Pruning Saw Kit,/ozito-power-x-change-18v-pruning-saw-kit_p0054476,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},98.0
23,0082358,Ozito Power X Change 2 x 18V Cordless Line Trimmer Kit,/ozito-power-x-change-2-x-18v-cordless-line-trimmer-kit_p0082358,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",3},229.0
24,0054474,Ozito Power X Change 2 x 18V Brushless Jet Blower Kit,/ozito-power-x-change-2-x-18v-brushless-jet-blower-kit_p0054474,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",1},149.0
25,0085438,Ozito Power X Change 18V 125mm Brushless Angle Grinder - Skin Only,/ozito-power-x-change-18v-125mm-brushless-angle-grinder-skin-only_p0085438,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
26,0085439,Ozito Power X Change 18V Brushless Rotary Hammer Drill,/ozito-power-x-change-18v-brushless-rotary-hammer-drill_p0085439,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},179.0
27,0085440,Ozito Power X Change 18V Impact Driver Kit,/ozito-power-x-change-18v-impact-driver-kit_p0085440,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
28,0087285,Ozito Power X Change 42 Piece Impact Driving Set,/ozito-power-x-change-42-piece-impact-driving-set_p0087285,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},14.98
29,0097194,Ozito Power X Change 18V 2 Piece Garden Care Kit,/ozito-power-x-change-18v-2-piece-garden-care-kit_p0097194,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},149.0
30,0098552,Ozito Power X Change 18V Compact Multi Function Tool - Skin Only,/ozito-power-x-change-18v-compact-multi-function-tool-skin-only_p0098552,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},59.0
31,0109216,Ozito Power X Change 18V Cordless Lawn Edger - Skin Only,/ozito-power-x-change-18v-cordless-lawn-edger-skin-only_p0109216,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},149.0
32,0119783,Ozito Power-X-Change 18V Pole Pruner And Hedge Trimmer Kit,/ozito-power-x-change-18v-pole-pruner-and-hedge-trimmer-kit_p0119783,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},199.0
33,0123304,Ozito Power X Change 18V Blower / Grass Trimmer / Hedge Trimmer Kit,/ozito-power-x-change-18v-blower-grass-trimmer-hedge-trimmer-kit_p0123304,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",0},199.0
34,0124074,Ozito Power X Change 18V Drill Driver - Skin Only,/ozito-power-x-change-18v-drill-driver-skin-only_p0124074,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},39.98
35,0124934,Ozito Power X Change 18V Multi Function Tool Kit,/ozito-power-x-change-18v-multi-function-tool-kit_p0124934,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
36,0127564,Ozito Power X Change 2 x 18V Telescopic Lawn Mower Kit,/ozito-power-x-change-2-x-18v-telescopic-lawn-mower-kit_p0127564,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},399.0
